date;time;heat_id;shift;steel_grade;CaO;SiO2;MgO;FeO;MnO;Al2O3;P2O5;BC;BT;BB;sample
13 01 23;22 54;35020030;B;1022;33.49;19.08;11.17;20.16;4.20;5.57;0.55;1.81;1.36;1.76;
13 01 23;23 01;35020039;C;1022;27.02;15.24;9.74;27.60;4.12;4.45;0.55;1.87;1.37;1.77;
14 01 23;00 29;35019993;B;1011;23.83;15.11;7.97;26.65;4.22;4.70;0.43;1.61;1.20;1.58;
14 01 23;00 36;35019998;A;1011;24.35;15.93;8.59;27.04;4.28;5.05;0.44;1.57;1.16;1.53;
14 01 23;00 43;35020004;C;1011;23.98;15.27;8.09;26.81;4.23;4.78;0.42;1.60;1.20;1.57;
14 01 23;00 51;35020022;C;1011;29.69;15.93;8.48;19.45;3.75;4.60;0.47;1.86;1.45;1.86;
14 01 23;00 58;35020014;B;1011;35.23;21.62;8.68;12.40;3.82;4.29;0.25;1.69;1.36;1.63;
18 01 23;14 47;35020072;A;1022;32.82;18.09;11.25;18.24;4.47;6.57;0.59;1.79;1.33;1.81;
18 01 23;15 04;35020082;A;1022;35.37;19.29;10.85;15.37;4.38;6.78;0.60;1.77;1.36;1.83;
18 01 23;15 11;35020085;A;1022;33.06;17.27;10.85;21.14;4.38;6.72;0.66;1.83;1.38;1.91;
21 01 23;13 19;35020124;B;1011;28.53;13.25;9.75;29.93;4.18;4.20;0.54;2.19;1.64;2.15;
21 01 23;13 36;35020117;A;1011;27.59;13.89;9.39;32.27;3.65;4.20;0.56;2.04;1.52;1.99;
21 01 23;13 43;35020066;B;1022;20.56;10.21;7.59;45.23;3.17;3.49;0.57;2.06;1.50;2.01;
21 01 23;13 51;35020092;C;1022;32.91;16.79;10.31;18.46;3.96;5.59;0.52;1.93;1.47;1.96;
26 01 23;11 33;35020090;C;1022;30.13;16.50;10.32;23.22;3.95;5.46;0.51;1.84;1.37;1.83;
26 01 23;11 41;35020110;B;1022;31.73;16.28;10.52;23.69;3.91;5.40;0.55;1.95;1.46;1.95;
26 01 23;11 41;35020110;B;1022;31.73;16.28;10.52;23.69;3.91;5.40;0.55;1.95;1.46;1.95;
