date;time;heat_id;sample;shift;steel_grade;CaO;SiO2;MgO;FeO;MnO;Al2O3;P2O5;BC;BT;BB
13 01 23;21 46;35020030;E;B;1022;47.37;28.15;7.82;1.93;2.37;2.18;0.04;1.82;1.56;1.68
13 01 23;22 03;35020030;S;B;1022;54.25;26.85;7.86;0.81;0.42;2.34;0.02;2.13;1.86;2.02
13 01 23;22 10;35020017;E;A;1022;47.53;25.51;11.20;1.66;2.82;2.45;0.04;2.10;1.70;1.86
13 01 23;22 18;35020017;S;A;1022;49.42;27.71;10.52;1.11;0.95;2.46;0.03;1.99;1.64;1.78
13 01 23;22 25;35020038;E;C;1022;45.69;28.38;7.87;1.77;3.99;2.16;0.04;1.75;1.50;1.61
13 01 23;22 32;35020038;S;C;1022;49.66;26.48;6.12;1.08;0.61;1.76;0.02;1.97;1.76;1.88
13 01 23;22 39;35020053;E;A;1022;42.88;26.36;6.94;2.63;4.77;1.99;0.05;1.76;1.51;1.63
13 01 23;22 47;35020053;S;A;1022;50.88;29.30;6.95;0.94;1.06;1.85;0.02;1.86;1.63;1.74
21 01 23;13 58;35020083;E;A;1022;49.05;23.87;8.27;2.01;2.91;1.95;0.04;2.22;1.90;2.06
21 01 23;14 05;35020083;S;A;1022;51.40;26.78;7.71;1.25;0.88;1.99;0.02;2.05;1.79;1.92
21 01 23;14 13;35020135;E;A;1011;46.44;25.44;12.04;3.02;4.70;2.18;0.10;2.12;1.68;1.83
21 01 23;14 20;35020135;S;A;1011;52.49;28.10;6.98;0.71;0.65;2.16;0.01;1.97;1.73;1.87
21 01 23;14 27;35020018;E;A;1011;43.59;22.09;5.00;3.55;4.55;1.65;0.08;2.05;1.84;1.97
21 01 23;14 34;35020018;S;A;1011;45.43;25.94;6.45;1.24;1.06;1.82;0.02;1.87;1.64;1.75
26 01 23;16 15;3500;E;B;1022;31.76;16.27;10.54;23.73;3.95;5.41;0.55;1.95;1.47;1.95
26 01 23;16 35;3500;E;B;1022;30.13;16.50;10.28;23.21;3.94;5.48;0.49;1.84;1.37;1.83
26 01 23;16 55;35020110;E;B;1022;31.76;16.31;10.44;23.74;3.93;5.41;0.56;1.94;1.46;1.95
30 01 23;19 37;35020225;E;C;1523;58.85;15.49;8.19;2.19;3.04;1.55;0.04;3.93;3.45;3.80
30 01 23;19 45;35020225;D;C;1523;53.62;28.34;7.98;1.00;0.62;2.22;0.01;2.02;1.75;1.89
30 01 23;19 52;35020204;D;C;1523;52.47;25.60;8.49;1.23;0.94;2.51;0.02;2.17;1.87;2.05
31 01 23;16 44;35020186;E;C;1008;0.34;0.00;0.63;0.04;0.04;0.03;0.00;-0.60;-0.21;-0.21
31 01 23;18 01;35020186;S;C;1008;47.12;24.93;8.39;1.37;1.81;2.50;0.05;2.02;1.72;1.89
31 01 23;18 08;35020191;E;B;1008;45.16;25.06;12.03;3.65;4.62;1.82;0.06;2.13;1.68;1.80
31 01 23;18 16;35020191;S;B;1008;53.02;28.17;10.28;0.88;1.18;2.15;0.02;2.09;1.75;1.88
31 01 23;18 23;35020289;E;B;1011;41.52;25.05;11.08;5.14;7.71;1.82;0.09;1.96;1.55;1.66
31 01 23;18 30;35020289;S;B;1011;44.86;29.58;9.97;2.11;2.33;2.00;0.02;1.74;1.42;1.52
31 01 23;18 37;35020210;S;B;1523;52.37;25.42;8.34;1.30;0.93;2.51;0.03;2.17;1.88;2.06
31 01 23;18 45;35020204;E;C;1523;46.64;27.83;9.07;1.63;3.48;2.68;0.02;1.83;1.53;1.68
01 02 23;10 34;35020186;E;C;1008;39.49;21.92;8.20;9.17;8.51;2.63;0.35;1.94;1.61;1.80
02 02 23;17 01;35020210;E;B;1523;45.96;26.77;8.88;1.79;3.44;2.61;0.04;1.87;1.56;1.72
02 02 23;17 11;35020307;E;A;1022;46.77;24.50;11.71;2.02;5.35;1.61;0.03;2.24;1.79;1.91
02 02 23;17 19;35020307;D;A;1022;49.22;29.11;9.23;2.80;3.06;1.81;0.03;1.89;1.59;1.69
02 02 23;17 26;35020332;E;C;1022;45.93;22.77;10.91;3.35;6.06;2.32;0.05;2.27;1.83;2.02
02 02 23;17 37;35020332;D;C;1022;52.13;28.03;9.58;1.40;1.67;2.49;0.02;2.02;1.71;1.86
02 02 23;20 20;35020341;E;B;1022;45.51;22.54;10.86;3.40;6.02;2.36;0.05;2.26;1.83;2.02
02 02 23;20 32;35020341;S;B;1022;48.82;28.57;9.16;2.92;3.04;1.96;0.04;1.90;1.60;1.71
07 02 23;23 49;35018436;E;A;1015;29.06;18.26;10.94;18.76;3.67;5.29;0.47;1.70;1.23;1.59
08 02 23;00 05;35018436;S;A;1015;41.00;26.61;10.75;3.80;6.17;2.19;0.08;1.80;1.42;1.54
08 02 23;00 20;35018437;E;A;1015;41.77;29.33;11.18;1.50;2.42;2.25;0.02;1.68;1.32;1.42
08 02 23;00 28;35018437;S;A;1015;40.76;28.78;10.53;1.89;3.62;2.72;0.03;1.63;1.29;1.42
08 02 23;00 44;35018631;E;B;1022;44.05;28.96;11.87;0.73;1.07;2.85;0.01;1.76;1.38;1.52
08 02 23;00 55;35018631;S;B;1022;28.81;13.55;8.54;33.72;4.03;3.35;0.65;2.21;1.70;2.13
10 02 23;10 27;35018634;S;B;1022;27.96;15.18;9.07;21.01;3.85;4.58;0.49;1.87;1.41;1.84
10 02 23;10 43;35018577;E;C;1022;29.30;16.49;10.23;21.72;4.01;5.15;0.54;1.83;1.35;1.78
10 02 23;12 48;35020505;E;B;1523;43.62;24.16;8.42;2.98;3.54;2.70;0.06;1.94;1.62;1.81
10 02 23;12 55;35020505;S;B;1523;45.92;27.97;7.72;1.41;1.36;2.16;0.03;1.78;1.52;1.64
24 02 23;16 51;35020603;E;A;1022;36.70;29.07;9.25;8.60;12.23;2.44;0.18;1.46;1.16;1.26
24 02 23;17 08;35020603;S;A;1022;40.61;35.92;12.83;1.83;2.76;3.15;0.02;1.37;1.04;1.13
24 02 23;17 15;35020670;E;A;1016;44.32;31.24;10.38;2.34;6.90;3.37;0.05;1.58;1.28;1.42
24 02 23;17 23;35020670;E;A;1016;44.09;30.89;10.28;2.34;6.88;3.26;0.05;1.59;1.29;1.43
24 02 23;17 30;35020670;S;A;1016;51.32;32.77;11.04;1.67;1.08;2.96;0.02;1.75;1.44;1.57
